Rank,Artist,id,album_id
200,Ratking,2xtXCUTxmekNFB8oIYuOfe,3hXl1HiPIzbR1alZy3Eaf3
199,Wu Lyf,5mGTnJvTkLDN76DgXka5f0,3YUCk9Q1vjWsZsTur93sQP
198,Jean Grae,2ipBhKpOYqs6BbysLNGye6,22oHrB4SLwayyuLE02t5BD
197,Fatima Al Qadiri,1pfunEyqsC4oKSBY9gr8lN,3SHUtCuskxWnDgBHhupzaF
196,Portal,1WiZz4d759EPtACSUBEfmt,0PtGwwqM6zFvawkY3JHtfq
195,Downtown Boys,7l8uFATeRemkWEA8Gn15YC,1bok6Flvzcw9vTTykASLJj
194,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,5U09FQWagzAU5HPmufUAlU
193,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,033j4a038P7Uodv9Y2eHZb
192,Kelela,1U0sIzpRtDkvu1hXXzxh60,2RPUtz0BH6L3SMoQ6slT3G
191,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,1sFrZZRJfBb3QHfcIgaRUP
190,Huerco S.,0Wy3xgOTkgtDlT9wJsOQjy,57o6rhS5v8qPeRPzrNRWF9
189,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,563h536tB6n8Dn62jr4RZG
188,Pusha-T,0ONHkAv9pCAFxb0zJwDNTy,07bIdDDe3I3hhWpxU6tuBp
187,Iceage,03hlOXqRyyXO3ectp3eEbU,5H8wFFblf7YvGc7LbBzuR9
186,Various Artists,1ak9R23G17KzqPFCNMxVxF,3fHY1FPrS7L6ecZtBcEaj0
185,Hailu Mergia,0rsN9DKQhTCvkgbByOOBIm,5daH3Ogui4BqvMrMLaEJ2Q
184,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,36NLDBi2kX7XRHnyLzLOS8
183,Elysia Crampton,75v4Rn3SqXn6dmq2PFrRgN,033j4a038P7Uodv9Y2eHZb
182,G.L.O.S.S.,2s4gtd98phMFZf7dMagxjU,1oe6Qv0KAMuMixxDVQLtOf
181,Jamila Woods,4UodukR17NIQfNu5uaqm9B,5NzK7S7oQQnO8eLRf7kDJx
180,Chvrches,3CjlHNtplJyTf9npxaPl5w,7mYtNRrdUIZZymc5epjYHE
179,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,7BivjtZDPMhWSyCPCt7rau
178,Savages,4opwQe0g9rAbtbsAErAOdS,0aMC5DDAF86GvYNPaivEKd
177,Margo Price,09yvLritEUxHrzx5TlFvbl,5XbPhu08VoGqOT06oLpHhN
176,Gil Scott-Heron,0kEfub5RzlZOB2zGomqVSU,1S5FP0ZGG6XGOIdL8OsrZB
175,Jessie Ware,5Mq7iqCWBzofK39FBqblNc,1T5wmjLCBuuTKTpKsiAn7R
174,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,0F1pMhF8Vy74nKkQeLBfrd
173,Hurray for the Riff Raff,2xLEV2jDreAOcpJXFNoXyt,2PKIZjQQgHQeDAw5fn35LO
172,Popcaan,62DmErcU7dqZbJaDqwsqzR,3iZe5yKemYO68gNG9hQ33C
171,JPEGMAFIA,6yJ6QQ3Y5l0s0tn7b0arrO,51WLEfPEEkzAWurvuY6Gco
170,Skee Mask,2qwi0hBvI2GrbkurOnw3hZ,3yXIkSJWpudtgF0TZuB16U
169,Paramore,74XFHRwlV6OrjEM0A2NCMF,1c9Sx7XdXuMptGyfCB6hHs
168,Julianna Barwick,0HWfFWL4vVrbaBQqxVCwCi,4JW1OsBRpDNF23lDFPaFQ7
167,(Sandy) Alex G,6lcwlkAjBPSKnFBZjjZFJs,7mcmdIquDOA2QT8h1SSZpg
166,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,1IOHcoY4gPRECxpIhVGmuq
165,Jay Som,1wmiQ6ytATiGnJs6uFluKO,1ZMtgC7o6TGbzwkv5SpThU
164,Hop Along,3yYUV3hkJit05YIUEODqgp,16fimHkQtXptYBytXfHfUs
163,Meek Mill,20sxb77xiYeusSH8cVdatc,0kpslw9IHk7EsK40BGUbX9
162,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,4makbOuLd5SUdyHMaNM1Ag
161,The 1975,3mIj9lX2MWuHmhNCA7LSCW,1JFmNyVPdBF1ECvv4fhpW4
160,Noname,1EpyA68dKpjf7jXmQL88Hy,3mpA4v2tvEM5aAYtNGnbzD
159,Pallbearer,2yeEmsTQMNHBlS5dhWtuD1,5hcHyM3KYY97gUZzfRlNZb
158,Sleigh Bells,59pWgeY26Q6yJy37QvJflh,1IWkF6zpOq73txmrYpljIT
157,The 1975,3mIj9lX2MWuHmhNCA7LSCW,6PWXKiakqhI17mTYM4y6oY
156,Jenny Lewis,5cMVRrisBpDkXCVG48epED,5sCsfubNchaI9RCpP7K7aB
155,21 Savage,1URnnhqYAYcrqrcwql10ft,4I3EcXD4e3KcEoDJfFEZ5b
