,Rank,Artist,Album,Year,id,genre,followers,popularity,rank,album_id
0,200,Ratking, So It Goes ,2014,2xtXCUTxmekNFB8oIYuOfe,['escape room'],27171,31,200,3hXl1HiPIzbR1alZy3Eaf3
1,199,Wu Lyf, Go Tell Fire to the Mountain ,2011,5mGTnJvTkLDN76DgXka5f0,['chillwave'],33907,32,199,3YUCk9Q1vjWsZsTur93sQP
2,198,Jean Grae, Everything’s Fine ,2018,2ipBhKpOYqs6BbysLNGye6,"['alternative hip hop', 'east coast hip hop', 'escape room', 'hip pop']",40597,43,198,22oHrB4SLwayyuLE02t5BD
3,197,Fatima Al Qadiri, Genre-Specific Xperience ,2011,1pfunEyqsC4oKSBY9gr8lN,"['arab electronic', 'art pop', 'deconstructed club', 'electra', 'escape room', 'experimental electronic', 'fluxwork', 'grave wave', 'witch house']",25649,30,197,3SHUtCuskxWnDgBHhupzaF
4,196,Portal, Vexovoid ,2013,1WiZz4d759EPtACSUBEfmt,"['australian black metal', 'australian metal', 'lovecraftian metal']",18518,24,196,0PtGwwqM6zFvawkY3JHtfq
5,195,Downtown Boys, Full Communism ,2015,7l8uFATeRemkWEA8Gn15YC,['rhode island indie'],13154,24,195,1bok6Flvzcw9vTTykASLJj
6,194,Titus Andronicus, The Monitor ,2010,5lJ4XQ2hlPlxACN7q3xKL1,"['alternative rock', 'freak folk', 'indie punk', 'indie rock', 'lo-fi', 'new jersey indie']",49705,38,194,5U09FQWagzAU5HPmufUAlU
7,193,Lil Peep, Hellboy ,2016,2kCcBybjl3SAtIcwdWpUe3,"['emo rap', 'lgbtq+ hip hop']",4275963,87,193,033j4a038P7Uodv9Y2eHZb
8,192,Kelela, Cut 4 Me ,2013,1U0sIzpRtDkvu1hXXzxh60,"['afrofuturism', 'alternative r&b', 'art pop', 'dance pop', 'electropop', 'escape room', 'indie r&b', 'indie soul']",223961,55,192,2RPUtz0BH6L3SMoQ6slT3G
9,191,Kate Bush, 50 Words for Snow ,2011,1aSxMhuvixZ8h9dK9jIDwL,"['art pop', 'art rock', 'baroque pop', 'dance rock', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",609002,65,191,1sFrZZRJfBb3QHfcIgaRUP
10,190,Huerco S., For Those of You Who Have Never (and Also Those Who Have) ,2016,0Wy3xgOTkgtDlT9wJsOQjy,"['ambient', 'art pop', 'deconstructed club', 'drone', 'dub techno', 'experimental synth', 'float house', 'microhouse', 'new isolationism', 'outsider house']",17507,35,190,57o6rhS5v8qPeRPzrNRWF9
11,189,Miranda Lambert, The Weight of These Wings ,2016,66lH4jAE7pqPlOlzUKbwA0,"['contemporary country', 'country', 'country dawn', 'country road']",2362706,73,189,563h536tB6n8Dn62jr4RZG
12,188,Pusha-T, Daytona ,2018,0ONHkAv9pCAFxb0zJwDNTy,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'virginia hip hop']",1699325,74,188,07bIdDDe3I3hhWpxU6tuBp
13,187,Iceage, Beyondless ,2018,03hlOXqRyyXO3ectp3eEbU,"['chamber psych', 'danish alternative rock', 'danish post-punk', 'garage psych', 'indie punk', 'indie rock']",61354,40,187,5H8wFFblf7YvGc7LbBzuR9
14,186,Various Artists, Mono No Aware ,2017,0LyfQWJT6nXafLPZqxe9Of,[],1783,0,186,3fHY1FPrS7L6ecZtBcEaj0
15,185,Hailu Mergia, Lala Belu ,2018,0rsN9DKQhTCvkgbByOOBIm,"['afrobeat', 'afropop', 'ethio-jazz', 'freak folk', 'funk', 'indie jazz', 'world']",30684,48,185,5daH3Ogui4BqvMrMLaEJ2Q
16,184,Soccer Mommy, Clean ,2018,4wXchxfTTggLtzkoUhO86Q,"['art pop', 'electropop', 'indie folk', 'indie pop', 'indie rock', 'small room']",157138,61,184,36NLDBi2kX7XRHnyLzLOS8
17,183,Elysia Crampton, American Drift ,2015,75v4Rn3SqXn6dmq2PFrRgN,"['collage pop', 'deconstructed club', 'electra', 'fluxwork', 'new isolationism', 'outsider house']",7342,24,183,033j4a038P7Uodv9Y2eHZb
18,182,G.L.O.S.S., Trans Day of Revenge ,2016,2s4gtd98phMFZf7dMagxjU,"['olympia wa indie', 'queercore']",18575,28,182,1oe6Qv0KAMuMixxDVQLtOf
19,181,Jamila Woods, LEGACY! LEGACY! ,2019,4UodukR17NIQfNu5uaqm9B,"['afrofuturism', 'alternative r&b', 'escape room', 'indie soul']",131166,59,181,5NzK7S7oQQnO8eLRf7kDJx
20,180,Chvrches, The Bones of What You Believe ,2013,3CjlHNtplJyTf9npxaPl5w,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'metropopolis', 'neo-synthpop', 'shimmer pop']",1140904,72,180,7mYtNRrdUIZZymc5epjYHE
21,179,Shabazz Palaces, Black Up ,2011,6C403AR4y6PjN0xNNGh42m,"['afrofuturism', 'alternative hip hop', 'art pop', 'chillwave', 'escape room', 'experimental hip hop', 'freak folk', 'psychedelic hip hop', 'seattle hip hop', 'wonky']",95202,45,179,7BivjtZDPMhWSyCPCt7rau
22,178,Savages, Silence Yourself ,2013,4opwQe0g9rAbtbsAErAOdS,[],8686,42,178,0aMC5DDAF86GvYNPaivEKd
23,177,Margo Price, All American Made ,2017,09yvLritEUxHrzx5TlFvbl,"['alternative country', 'folk', 'indie folk', 'nashville americana', 'new americana', 'outlaw country', 'roots rock', 'stomp and holler']",81026,53,177,5XbPhu08VoGqOT06oLpHhN
24,176,Gil Scott-Heron, I’m New Here ,2010,0kEfub5RzlZOB2zGomqVSU,"['conscious hip hop', 'funk', 'jazz funk', 'political hip hop', 'slam poetry', 'soul']",190174,58,176,1S5FP0ZGG6XGOIdL8OsrZB
25,175,Jessie Ware, Devotion ,2012,5Mq7iqCWBzofK39FBqblNc,"['art pop', 'british soul', 'dance pop', 'electropop', 'indie r&b', 'neo soul', 'pop', 'tropical house']",518487,69,175,1T5wmjLCBuuTKTpKsiAn7R
26,174,Sharon Van Etten, Are We There ,2014,2wJ4vsxWd7df7dRU4KcoDe,"['art pop', 'chamber pop', 'chamber psych', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'new americana', 'new jersey indie', 'stomp and holler']",322381,62,174,0F1pMhF8Vy74nKkQeLBfrd
27,173,Hurray for the Riff Raff, Small Town Heroes ,2014,2xLEV2jDreAOcpJXFNoXyt,"['alternative country', 'new americana', 'new orleans americana', 'stomp and holler', 'traditional folk']",76004,46,173,2PKIZjQQgHQeDAw5fn35LO
28,172,Popcaan, Where We Come From ,2014,62DmErcU7dqZbJaDqwsqzR,"['dancehall', 'reggae fusion']",418501,69,172,3iZe5yKemYO68gNG9hQ33C
29,171,JPEGMAFIA, Veteran ,2018,6yJ6QQ3Y5l0s0tn7b0arrO,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop', 'rap', 'underground hip hop']",253264,66,171,51WLEfPEEkzAWurvuY6Gco
30,170,Skee Mask, Compro ,2018,2qwi0hBvI2GrbkurOnw3hZ,"['bass music', 'electronica', 'float house', 'future garage', 'intelligent dance music', 'mandible', 'microhouse', 'munich electronic', 'outsider house', 'wonky']",37942,46,170,3yXIkSJWpudtgF0TZuB16U
31,169,Paramore, After Laughter ,2017,74XFHRwlV6OrjEM0A2NCMF,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']",5271216,78,169,1c9Sx7XdXuMptGyfCB6hHs
32,168,Julianna Barwick, The Magic Place ,2011,0HWfFWL4vVrbaBQqxVCwCi,"['ambient', 'ambient pop', 'art pop', 'chamber psych', 'chillwave', 'compositional ambient', 'drone', 'electra', 'experimental pop', 'fourth world', 'freak folk', 'indie folk', 'indietronica', 'melancholia']",49397,50,168,4JW1OsBRpDNF23lDFPaFQ7
33,167,(Sandy) Alex G, DSU ,2014,6lcwlkAjBPSKnFBZjjZFJs,"['art pop', 'freak folk', 'garage psych', 'indie folk', 'indie garage rock', 'indie pop', 'indie rock', 'philly indie']",120527,58,167,7mcmdIquDOA2QT8h1SSZpg
34,166,Nicki Minaj, The Pinkprint ,2014,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",18160171,91,166,1IOHcoY4gPRECxpIhVGmuq
35,165,Jay Som, Everybody Works ,2017,1wmiQ6ytATiGnJs6uFluKO,"['art pop', 'bay area indie', 'chillwave', 'electropop', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'oakland indie', 'small room']",83187,55,165,1ZMtgC7o6TGbzwkv5SpThU
36,164,Hop Along, Painted Shut ,2015,3yYUV3hkJit05YIUEODqgp,"['alternative emo', 'art pop', 'emo', 'folk punk', 'indie pop', 'indie punk', 'indie rock', 'philly indie']",79957,47,164,16fimHkQtXptYBytXfHfUs
37,163,Meek Mill, Dreamchasers 2 ,2012,20sxb77xiYeusSH8cVdatc,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",4262086,83,163,0kpslw9IHk7EsK40BGUbX9
38,162,Sturgill Simpson, Metamodern Sounds in Country Music ,2014,3vDpQbGnzRbRVirXlfQagB,"['alternative americana', 'indie folk', 'nashville singer-songwriter', 'new americana', 'outlaw country', 'roots rock']",400673,64,162,4makbOuLd5SUdyHMaNM1Ag
39,161,The 1975, I like it when you sleep… ,2016,3mIj9lX2MWuHmhNCA7LSCW,"['indie pop', 'modern alternative rock', 'nu gaze', 'pop', 'rock']",4212329,82,161,1JFmNyVPdBF1ECvv4fhpW4
40,160,Noname, Room 25 ,2018,1EpyA68dKpjf7jXmQL88Hy,"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'neo soul', 'rap', 'underground hip hop']",467069,65,160,3mpA4v2tvEM5aAYtNGnbzD
41,159,Pallbearer, Foundations of Burden ,2014,2yeEmsTQMNHBlS5dhWtuD1,"['doom metal', 'drone metal', 'epic doom', 'post-doom metal', 'psychedelic doom']",56458,40,159,5hcHyM3KYY97gUZzfRlNZb
42,158,Sleigh Bells, Treats ,2010,59pWgeY26Q6yJy37QvJflh,"['alternative dance', 'art pop', 'brooklyn indie', 'dance-punk', 'electropop', 'escape room', 'experimental pop', 'indie pop', 'indie rock', 'indie surf', 'indietronica', 'modern rock', 'new rave', 'noise pop', 'shimmer pop']",218345,50,158,1IWkF6zpOq73txmrYpljIT
43,157,The 1975, A Brief Inquiry Into Online Relationships ,2018,3mIj9lX2MWuHmhNCA7LSCW,"['indie pop', 'modern alternative rock', 'nu gaze', 'pop', 'rock']",4212329,82,157,6PWXKiakqhI17mTYM4y6oY
44,156,Jenny Lewis, The Voyager ,2014,5cMVRrisBpDkXCVG48epED,"['art pop', 'indie folk', 'indie pop', 'indie rock', 'lilith']",138450,52,156,5sCsfubNchaI9RCpP7K7aB
45,155,21 Savage, Savage Mode ,2016,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'rap', 'trap']",8154416,85,155,4I3EcXD4e3KcEoDJfFEZ5b
46,154,Mica Levi, Under the Skin OST ,2014,29LOCR81IrdEJjCAeCEOU3,"['british soundtrack', 'soundtrack']",19644,39,154,0MJwS1KqklO8tr95IJAcQA
47,153,Purple Mountains, Purple Mountains ,2019,1ll45mCZIveI9KHNZx2DdS,"['alternative country', 'alternative rock', 'anti-folk', 'freak folk', 'indie rock', 'lo-fi', 'modern power pop', 'slowcore']",30384,44,153,6YM4MpYgz6BhIeqQkxp3u4
48,152,Arctic Monkeys, AM ,2013,7Ln80lUS6He07XvHI8qqHH,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",9433087,83,152,78bpIziExqiI9qztvNFlQu
49,151,Lady Gaga, The Fame Monster ,2009,1HY2Jd0NmPuamShAr6KMms,"['dance pop', 'pop']",12722855,92,151,6rePArBMb5nLWEaY9aQqL4
50,150,Playboi Carti, Playboi Carti ,2017,699OTQXzgjhIYAHMy9RyPD,"['atl hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']",3757999,83,150,4rJgzzfFHAVFhCSt2P4I3j
51,149,Mac DeMarco, 2 ,2012,3Sz7ZnJQBIHsXLUSo0OQtM,['edmonton indie'],1537483,75,149,7x6wYKbZUU2BL3N8ZWwM3q
52,148,Nicolas Jaar, Space Is Only Noise ,2011,5a0etAzO5V26gvlbmHzT9W,"['downtempo', 'electronica', 'microhouse']",545680,60,148,0tUJcqDuXHNkaPKLN0lQhT
53,147,The National, High Violet ,2010,2cCUtGK9sDU2EoElnk0GNB,"['indie rock', 'modern rock']",1203648,69,147,59gXPxZ8CwFaeknPxtxXHZ
