,album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,3hXl1HiPIzbR1alZy3Eaf3,0.343,0.981,10,-2.92,0,0.393,0.00749,0.251,0.152,0.365,159.337,237895
1,3hXl1HiPIzbR1alZy3Eaf3,0.493,0.852,2,-2.64,0,0.0731,0.000116,0.0217,0.514,0.395,135.284,183065
2,3hXl1HiPIzbR1alZy3Eaf3,0.258,0.969,7,-1.672,0,0.405,0.00347,4.29e-05,0.628,0.473,175.756,402688
3,3hXl1HiPIzbR1alZy3Eaf3,0.426,0.733,2,-3.739,1,0.172,0.0511,0.00126,0.294,0.268,159.645,282380
4,3hXl1HiPIzbR1alZy3Eaf3,0.485,0.92,6,-4.118,1,0.415,0.147,0.0,0.194,0.448,127.809,188824
5,3hXl1HiPIzbR1alZy3Eaf3,0.547,0.874,10,-4.31,0,0.0416,0.000166,0.142,0.559,0.0717,125.938,232986
6,3hXl1HiPIzbR1alZy3Eaf3,0.528,0.939,5,-3.64,0,0.285,0.0203,4.02e-06,0.638,0.482,130.036,332042
7,3hXl1HiPIzbR1alZy3Eaf3,0.699,0.922,2,-4.284,1,0.164,0.0219,0.000713,0.44,0.546,126.991,274121
8,3hXl1HiPIzbR1alZy3Eaf3,0.466,0.916,6,-4.575,1,0.418,0.00542,0.000358,0.41,0.429,202.992,293796
9,3hXl1HiPIzbR1alZy3Eaf3,0.395,0.942,7,-2.585,1,0.309,0.00751,0.0,0.135,0.78,134.755,191758
10,3hXl1HiPIzbR1alZy3Eaf3,0.368,0.859,0,-2.205,1,0.0632,0.0117,0.0,0.694,0.0748,121.855,219500
11,3hXl1HiPIzbR1alZy3Eaf3,0.664,0.933,4,-3.925,0,0.187,0.00168,0.0,0.613,0.494,105.013,254954
12,3YUCk9Q1vjWsZsTur93sQP,0.236,0.59,7,-7.891,1,0.0326,0.0368,0.352,0.267,0.159,132.273,270587
13,3YUCk9Q1vjWsZsTur93sQP,0.272,0.947,11,-5.262,0,0.0977,0.109,0.0161,0.105,0.33,135.518,228120
14,3YUCk9Q1vjWsZsTur93sQP,0.213,0.489,3,-8.974,1,0.0346,0.135,0.000829,0.11,0.0688,100.968,331293
15,3YUCk9Q1vjWsZsTur93sQP,0.349,0.798,2,-8.156,0,0.0584,0.181,0.505,0.159,0.284,134.604,240040
16,3YUCk9Q1vjWsZsTur93sQP,0.307,0.824,10,-7.361,1,0.097,0.2,0.000195,0.241,0.183,127.79,386840
17,3YUCk9Q1vjWsZsTur93sQP,0.339,0.736,2,-7.097,0,0.0756,0.21,3.59e-05,0.339,0.118,132.732,227293
18,3YUCk9Q1vjWsZsTur93sQP,0.309,0.717,0,-7.0,1,0.0556,0.23,0.496,0.165,0.334,133.05,198067
19,3YUCk9Q1vjWsZsTur93sQP,0.242,0.772,9,-7.023,1,0.0507,0.0478,0.408,0.103,0.324,135.503,334840
20,3YUCk9Q1vjWsZsTur93sQP,0.257,0.625,10,-9.166,1,0.0575,0.378,0.124,0.0947,0.237,135.471,281147
21,3YUCk9Q1vjWsZsTur93sQP,0.135,0.621,10,-7.942,1,0.0486,0.109,0.0186,0.158,0.0352,88.003,334227
22,22oHrB4SLwayyuLE02t5BD,0.679,0.5,5,-14.245,1,0.414,0.563,5.24e-06,0.136,0.521,139.992,67376
23,22oHrB4SLwayyuLE02t5BD,0.624,0.772,10,-7.638,0,0.36,0.467,0.00607,0.112,0.488,176.018,282912
24,22oHrB4SLwayyuLE02t5BD,0.641,0.575,2,-11.02,1,0.319,0.488,0.00183,0.591,0.648,87.768,271251
25,22oHrB4SLwayyuLE02t5BD,0.543,0.747,11,-8.958,0,0.296,0.0128,0.00378,0.54,0.218,176.083,197489
26,22oHrB4SLwayyuLE02t5BD,0.323,0.285,11,-12.554,0,0.0494,0.919,0.483,0.716,0.283,85.222,50983
27,22oHrB4SLwayyuLE02t5BD,0.61,0.615,1,-9.612,1,0.0616,0.435,0.0337,0.212,0.63,95.963,300391
28,22oHrB4SLwayyuLE02t5BD,0.269,0.7,2,-9.207,1,0.139,0.0204,0.000552,0.21,0.0381,195.456,196629
29,22oHrB4SLwayyuLE02t5BD,0.455,0.411,2,-10.133,1,0.0509,0.0214,0.51,0.291,0.32,175.935,127330
30,22oHrB4SLwayyuLE02t5BD,0.41,0.944,10,-7.385,0,0.573,0.0196,8.44e-05,0.569,0.177,170.511,233635
31,22oHrB4SLwayyuLE02t5BD,0.469,0.701,11,-8.946,1,0.243,0.188,0.000696,0.416,0.643,166.354,194001
32,22oHrB4SLwayyuLE02t5BD,0.402,0.689,1,-7.813,1,0.372,0.072,0.000172,0.181,0.284,86.803,243445
33,22oHrB4SLwayyuLE02t5BD,0.486,0.556,10,-8.341,0,0.0822,0.0214,0.0,0.676,0.434,87.999,285286
34,22oHrB4SLwayyuLE02t5BD,0.481,0.536,1,-12.332,1,0.0707,0.475,0.00202,0.192,0.122,92.806,132368
35,22oHrB4SLwayyuLE02t5BD,0.705,0.688,1,-8.599,1,0.208,0.045,2.45e-05,0.168,0.39,87.978,329088
36,22oHrB4SLwayyuLE02t5BD,0.404,0.655,7,-10.749,1,0.098,0.00579,0.0122,0.0968,0.0843,76.201,416345
37,3SHUtCuskxWnDgBHhupzaF,0.723,0.368,1,-8.532,0,0.0359,0.648,0.464,0.121,0.538,126.975,264406
38,3SHUtCuskxWnDgBHhupzaF,0.405,0.481,9,-8.246,0,0.0325,0.634,0.93,0.0654,0.458,132.059,411427
39,3SHUtCuskxWnDgBHhupzaF,0.533,0.654,2,-9.536,1,0.0425,0.0286,0.699,0.131,0.0364,146.976,213374
40,3SHUtCuskxWnDgBHhupzaF,0.625,0.862,11,-4.665,0,0.0396,0.109,0.4,0.388,0.225,144.006,316344
41,3SHUtCuskxWnDgBHhupzaF,0.465,0.964,7,-7.0,1,0.0602,0.193,0.862,0.351,0.302,130.02,203323
42,0PtGwwqM6zFvawkY3JHtfq,0.0757,0.965,1,-5.702,1,0.175,0.000613,0.902,0.339,0.0384,188.245,346627
43,0PtGwwqM6zFvawkY3JHtfq,0.19,0.937,1,-5.659,1,0.101,5.68e-05,0.769,0.27,0.0746,91.446,256253
44,0PtGwwqM6zFvawkY3JHtfq,0.135,0.834,10,-7.258,0,0.117,9.89e-05,0.856,0.285,0.0371,142.847,357173
45,0PtGwwqM6zFvawkY3JHtfq,0.0747,0.693,8,-7.159,1,0.121,0.0103,0.663,0.127,0.0385,173.446,346560
46,0PtGwwqM6zFvawkY3JHtfq,0.202,0.95,8,-6.285,0,0.197,4.86e-05,0.828,0.115,0.0568,106.206,261013
47,0PtGwwqM6zFvawkY3JHtfq,0.184,0.984,4,-5.941,0,0.212,0.000119,0.754,0.745,0.036,124.616,160053
48,0PtGwwqM6zFvawkY3JHtfq,0.0785,0.571,7,-7.243,1,0.0914,4.06e-05,0.819,0.104,0.127,75.069,316707
49,1bok6Flvzcw9vTTykASLJj,0.272,0.892,7,-3.435,0,0.146,0.0146,0.000107,0.0774,0.487,199.913,117187
50,1bok6Flvzcw9vTTykASLJj,0.351,0.969,9,-1.981,1,0.142,0.341,0.176,0.307,0.123,85.7,85427
51,1bok6Flvzcw9vTTykASLJj,0.396,0.93,0,-2.952,1,0.0896,0.0526,3.26e-05,0.363,0.2,125.416,133680
52,1bok6Flvzcw9vTTykASLJj,0.213,0.983,2,-2.047,1,0.2,0.0818,6.68e-05,0.299,0.561,193.57,87493
53,1bok6Flvzcw9vTTykASLJj,0.178,0.966,4,-3.904,1,0.113,0.000357,0.0342,0.268,0.18,108.466,120840
54,1bok6Flvzcw9vTTykASLJj,0.0,0.311,9,-11.448,1,0.0,0.899,0.0,0.632,0.0,0.0,12347
55,1bok6Flvzcw9vTTykASLJj,0.255,0.959,9,-3.008,1,0.132,0.1,0.0175,0.117,0.0774,122.916,204893
56,1bok6Flvzcw9vTTykASLJj,0.219,0.927,2,-3.261,1,0.0725,0.00131,0.0195,0.0883,0.7,144.219,79427
57,1bok6Flvzcw9vTTykASLJj,0.243,0.92,1,-3.129,1,0.153,0.0293,0.00782,0.328,0.253,118.442,86093
58,1bok6Flvzcw9vTTykASLJj,0.31,0.786,11,-3.595,0,0.135,0.00421,0.000106,0.11,0.183,135.731,62573
59,1bok6Flvzcw9vTTykASLJj,0.256,0.832,1,-3.932,1,0.0694,0.109,0.066,0.0797,0.538,194.769,245987
60,1bok6Flvzcw9vTTykASLJj,0.264,0.863,11,-2.883,1,0.123,0.108,0.000132,0.0864,0.417,202.445,163546
61,5U09FQWagzAU5HPmufUAlU,0.154,0.848,0,-5.093,1,0.0507,0.142,0.00102,0.395,0.241,175.848,429587
62,5U09FQWagzAU5HPmufUAlU,0.194,0.845,0,-5.744,1,0.0401,0.000488,0.183,0.675,0.33,87.566,115227
63,5U09FQWagzAU5HPmufUAlU,0.195,0.925,7,-4.997,1,0.0711,0.776,0.128,0.324,0.187,166.398,316453
64,5U09FQWagzAU5HPmufUAlU,0.432,0.91,7,-4.3,1,0.0709,0.15,0.000136,0.228,0.146,122.978,306933
65,5U09FQWagzAU5HPmufUAlU,0.158,0.802,4,-5.384,1,0.0555,0.246,0.0751,0.208,0.17,163.175,533893
66,5U09FQWagzAU5HPmufUAlU,0.249,0.735,0,-6.199,1,0.0514,0.172,0.00026,0.507,0.169,118.279,518907
67,5U09FQWagzAU5HPmufUAlU,0.241,0.851,7,-4.204,1,0.0648,0.223,2.48e-05,0.366,0.568,139.974,301893
68,5U09FQWagzAU5HPmufUAlU,0.262,0.414,2,-8.511,1,0.0322,0.378,0.00643,0.358,0.201,134.088,420547
69,5U09FQWagzAU5HPmufUAlU,0.249,0.805,7,-6.463,1,0.0877,0.537,9.03e-06,0.217,0.219,169.773,144307
70,5U09FQWagzAU5HPmufUAlU,0.206,0.847,7,-5.065,1,0.0537,0.0453,0.000258,0.311,0.147,169.055,841947
71,033j4a038P7Uodv9Y2eHZb,0.404,0.634,2,-9.131,1,0.0287,0.0171,0.0192,0.175,0.26,169.924,130260
72,033j4a038P7Uodv9Y2eHZb,0.542,0.717,7,-9.102,1,0.0477,0.00329,0.000115,0.111,0.557,143.965,195502
73,033j4a038P7Uodv9Y2eHZb,0.44,0.667,8,-8.677,1,0.0344,0.0596,4.5e-06,0.108,0.183,109.968,224335
74,033j4a038P7Uodv9Y2eHZb,0.505,0.807,10,-7.733,1,0.033,0.00225,0.00301,0.465,0.706,110.021,172783
75,033j4a038P7Uodv9Y2eHZb,0.285,0.675,2,-8.31,1,0.0376,0.0168,3.26e-05,0.562,0.362,183.575,179312
76,033j4a038P7Uodv9Y2eHZb,0.527,0.912,1,-7.06,1,0.0405,0.00216,0.00409,0.734,0.79,123.958,231975
77,033j4a038P7Uodv9Y2eHZb,0.31,0.326,1,-11.123,1,0.029,0.0674,0.0,0.112,0.0532,117.569,237856
